Wikipedia movie ID,Movie name,Movie release year,Movie box office revenue,Movie countries,Movie genres,Summary,Sentiment,vote_average,Corrected_Theme
336846,Grease,1978,1979573529.0145447,['United States of America'],"['Romantic comedy', 'LGBT', 'Musical', 'Comedy', 'Romance Film', 'Teen']"," In the summer of 1959, local boy Danny Zuko and vacationing Sandy Olsson meet at the beach and fall in love. When the summer comes to an end, Sandy—who is going back to Australia—frets that they may never meet again, but Danny tells her that their love is ""only the beginning"". The film moves to the start of the seniors' term at Rydell High School. Danny, a greaser, is a member of the T-Birds, consisting of his best friend Kenickie, Doody, Putzie and Sonny. The Pink Ladies also arrive, consisting of Betty Rizzo, Janet and Marty. After her parents decided not to return to Australia, Sandy enrolls at Rydell and befriends Frenchy , who considers dropping out of school to become a beautician. Oblivious to each other's presence at school, Danny and Sandy tell their respective groups the accounts of events during the pair's brief romance. Upon learning Danny is Sandy's lover, Rizzo arranges for the two to reunite, but Danny is forced to maintain his bad-boy attitude in front of his friends, upsetting Sandy. Frenchy invites the girls to a sleepover, but Sandy falls ill from trying a cigarette and drinking. The T-Birds almost crash the party, but a guilty Danny leaves, followed by Rizzo, who departs to make out with Kenickie, who is actually her boyfriend. The two are disturbed by Leo, leader of the T-Birds' rival gang, the Scorpions, and his girlfriend Cha-Cha, leading to a planned race between Kenickie and Leo. Wishing to win his way back into Sandy's affection, Danny turns to Coach Calhoun to get into sports, eventually becoming a runner. He reunites with Sandy and they attempt to go on a date, but their friends crash it, resulting in Kenickie and Rizzo breaking after a fight. Left alone, Frenchy is visited by a guardian angel who advises her to return to school. The school dance arrives, broadcast live on television and hosted by DJ Vince Fontaine, who flirts with Marty. Rizzo and Kenickie attempt to spite one another by bringing Leo and Cha-Cha as their dates, whilst Danny and Sandy come together. During a dance, Danny and Cha-Cha  perform together and win a dance-off. Danny tries to make it up to Sandy by taking her to a drive-in theater but ends up making several passes on her, causing Sandy to flee. Meanwhile, Rizzo fears she is pregnant after missing a period and confides to Marty, but Sonny overhears and spreads the rumour which eventually reaches Kenickie who is the potential father. The race arrives, but Kenickie is knocked out by his own car door so Danny takes up the challenge. He and Leo race until Leo crashes and leaves humiliated, with Danny as the victor. Sandy watches from afar, concluding she still loves Danny and decides to change her attitude and look to impress him. On the last day of school, whilst Principal McGee and her assistant Blanche sob about the departing class, the class celebrates their graduation at the fair on the school grounds. Rizzo discovers she is not pregnant after all and reunites with Kenickie. Danny has become a jock, but is shocked when Sandy appears dressed in leather and is seen smoking. In song, the two admit they love each other and reunite. The film ends with Danny and Sandy departing in Danny's car together, which then takes flight, and the pair waves goodbye to their friends as they live happily ever after.",positive,7.394,love
103021,Midnight Express,1978,175587554.62965402,"['United States of America', 'United Kingdom']","['Thriller', 'LGBT', 'Indie', 'Crime Fiction', 'Escape Film', 'Biopic [feature]', 'Drama', 'Biographical film', 'Prison', 'Adventure']","On October 6, 1970, while on holiday in Istanbul, Turkey, American college student Billy Hayes straps 2kg of hashish blocks to his chest. While attempting to board a plane back to the US with his girlfriend, Billy is arrested by Turkish police on high alert due to fear of terrorist attacks. He is strip-searched, photographed and questioned. After a while, a shadowy American  arrives, takes Billy to a police station and translates for Billy for one of the detectives. On questioning Billy tells them that he bought the hash from a taxicab driver, and offers to help the police track him down in exchange for his release. Billy goes with the police to a nearby market and points out the cab driver, but when the police go to arrest the cabbie Billy sees an opportunity and makes a run for it. He gets cornered in a building and is recaptured by the mysterious American. During his first night in holding, Billy, freezing cold, sneaks out of his cell and steals a blanket. Later that night he is rousted from his cell and brutally beaten by the chief of guards, Hamidou. He wakes a few days later in Sağmalcılar prison, surrounded by fellow western prisoners Jimmy , Max  and Erich  who help him to his feet. Jimmy tells Billy that the prison is a dangerous place for foreigners like themselves and that no-one can be trusted, not even the young children. In the ensuing weeks following his arrest, Billy attempts to gain his release through the Turkish justice system. On the advice of Max, he hires a Turkish attorney, Yesil, who has a reputation for having successfully defended another prisoner also arrested with a large quantity of hashish. Billy’s father arrives from the US and the two share an emotional reunion. The courtroom scene at Billy’s trial is disorienting to both father and son as the prosecutor rapidly hurls accusations at Billy in Turkish. As the two ask their lawyer for an explanation, Yesil reassures them the remarks were just technical and not to worry, that the judge likes him. The judge returns a verdict of 4 years in prison angering the prosecutor and devastating Billy and his father. Yesil assures them it is an excellent outcome and that Billy could have received a lifetime sentence for smuggling, a sentence the prosecutor was vehemently arguing for. Father and son retreat to a small holding area where they tearfully share their devastation. Billy is hauled off to begin his sentence. In the next several years, Billy settles into life as a prisoner in this strange and horrible place. He begins a close relationship with Erich. Erich is gay and wishes to consummate the relationship but Billy refuses. Shortly after, Erich is released. Billy actually settles into some sense of normalcy engaging in long conversations with Max, smoking the cheap and awful drugs sold in the prison by chief snitch and prison trustee Rifki and counting the days until his release. Rifki is despised by all and routinely taunts the English speaking prisoners. Eighteen months before his release, Jimmy tries to get Max and Billy to go along with an escape plan. Billy refuses essentially putting his faith in the justice system due to release him in a year and a half. Jimmy tries on his own, is caught, and is severely beaten, nearly to death. In 1974, 53 days before his original term in prison is to expire, Billy's sentence is overturned by the Turkish High Court in Ankara after a prosecution appeal , and he is ordered to serve at least a 30-year life term for his crime. His stay becomes a living hell: terrifying scenes of physical and mental torture follow one another culminating in Billy having a breakdown and beating to near death his fellow prisoner Rifki, biting out Rifki's tongue in the process. Following this breakdown he is sent to the prison's ward for the insane where he wanders in a daze among the other disturbed and catatonic prisoners. He meets fellow prisoner Ahmet whilst participating in the regular inmate activity of walking in a circle around a pillar. Ahmet claims to be a philosopher from Oxford University and engages him in conversation to which Billy is unresponsive. In 1975, Billy's girlfriend, Susan, comes to see him and is devastated at what has happened to him. She tells him that he has to escape or else he will die in there and leaves him a scrapbook with money hidden inside as ""a picture of your good friend Mr. Franklin from the bank,"" hoping Billy can use it to help him escape. Her visit moves Billy strongly, and he begins to regain some of his senses. He says goodbye to Max, telling him not to die and to wait for Billy to come back for him. He attempts to bribe the head guard to take him to the sanitarium where there are no guards. Instead the guard takes Billy past the sanitarium to another room and attempts to rape him. With a freak stroke of luck, Billy kills the brutish and sadistic guard by pushing him on to a coat hook. He seizes the opportunity to escape by putting on a guard's uniform and managing to walk out of the front door. In the epilogue it is explained that on the night of October 4, 1975 he successfully crossed the border to Greece, and arrived home three weeks later.",negative,7.522,survival
19168185,9 Dead Gay Guys,2003,44649.98894202546,['United Kingdom'],"['LGBT', 'Gay', 'Gay Interest', 'Comedy', 'Gay Themed', 'Black comedy']","This is the story of two lads from Belfast as they stumble their way through the London gay underworld in search of ""gainful employment,"" that is, the offering of sexual favours to older gay men in order to subsidize their respective giros. However, when one of the lads accidentally shags a punter to death, they are forced to look for 'work' elsewhere. It is then that they discover the myth of 'The Bread in the Bed' - a huge bed full of money. Nine dead gay guys are the result of the ensuing caper as the lads begin the search for the bed.",negative,6.0,desperation
12091274,Puccini for Beginners,2007,167394.1155123867,['United States of America'],"['Romantic comedy', 'LGBT', 'Indie', 'Screwball comedy', 'Gay', 'Gay Interest', 'Comedy', 'Gay Themed', 'Romance Film']","The story begins with Samantha  breaking up with Allegra , a lesbian author who has had relationship problems in the past. Allegra meets a man named Philip  at a party, with whom she feels a connection. The next day, she meets Grace , Philip's ex-girlfriend, although Allegra does not know about it. Allegra and Philip begin seeing each other, and Philip leaves Grace for good. Allegra sees Grace outside of a movie theater and Grace cries about her boyfriend leaving her. Allegra goes on a date with Philip, but she leaves after thoughts in her mind tell her it's wrong to be with a guy. Allegra goes back and forth on dates with Philip and Grace. After several more dates, Grace shows Allegra a picture of her ex-boyfriend, and she learns that Philip and Grace were together. Philip and Grace go out for dinner, where they reveal to each other that they're seeing someone else. Meanwhile, Allegra caters at a party, which turns out to be Samantha's engagement party. Philip and Grace show up at the party, and they both discover that they have been seeing the same woman. In the end, Allegra is back with Samantha and never sees Philip and Grace again.",positive,,love
1307956,Stage Beauty,2004,3562693.589445512,"['United States of America', 'United Kingdom', 'Germany']","['LGBT', 'Romantic comedy', 'Comedy of manners', 'Comedy-drama', 'Period piece', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']","Ned Kynaston  is one of the leading actors of his day, famed for his portrayal of female characters, particularly Desdemona in Othello. His loyal dresser, Maria , longs to perform on stage but is forbidden to do so by a law enacted by the Puritans prior to the return of the House of Stuart to the throne. She fulfills her desire by appearing in plays presented in a local tavern under the name Margaret Hughes. Word of her performances spread and the novelty of a woman on stage draws the attention of Sir Charles Sedley , who offers to be her patron, and eventually the attention of King Charles II  himself. Kynaston's rant against allowing women on stage is overheard by Nell Gwynn , an aspiring actress and Charles II's mistress, and she literally seduces Charles into banning men from playing female roles. As a result, Kynaston loses his lover, George Villiers , the Duke of Buckingham, and the acceptance of London society. Unable to shake the feminine characteristics he has perfected over the years, he is reduced to performing bawdy songs in drag in music halls, while Maria's career thrives, though her abilities leave much to be desired, as she bases everything she does on Kynaston's performances. When Maria is called upon to portray Desdemona for the king, she panics and implores Kynaston to coach her. Not only does he agree, but he insists on replacing company head Thomas Betterton in the role of the titular protagonist. In doing so, he discovers his ability to portray a male character, while Maria evolves from an actress of middling talent to an acclaimed theatrical star.",positive,6.653,transformation
6721185,Go Fish,1994,5075653.596410481,['United States of America'],"['Romantic comedy', 'LGBT', 'Indie', 'Black-and-white', 'Drama', 'Comedy', 'Romance Film']","Max is a young lesbian student in Chicago who has gone ten months without having sex. She and her roommate and college professor Kia are in a coffee shop when they run into Ely, a hippieish woman with long braided hair, whom Max initially dismisses. Max and Ely do end up going to a movie together. After the movie they return to Ely's place and, after some flirtatious conversation, they kiss. Suddenly a call comes in from Ely's  partner Kate, with whom Ely has been in a long-distance relationship for more than two years, which puts a bit of a damper on things. Ely decides to cut off all her hair, ending up with a very short butch style. She runs into Max in a bookstore and Max almost does not recognize her. Kia's girlfriend Evy returns home. Her ex-boyfriend Junior is there. Evy's mother confronts her, saying that Junior told her that he had spotted Evy at a gay bar. Evy's mother kicks her out and Evy flees to Kia's place and Max invites her to live with them. Ely and her roommate Daria throw a dinner party and, after a spirited game of I Never, Max and Ely reconnect. They make plans to go out again and then begin kissing. They have several phone conversations, in the course of which Ely reveals that she's ""sort of broken up"" with Kate. They get together for a second date but they never make it out of the apartment. Max ends up trimming Ely's fingernails. This turns into foreplay and they have sex. Intercut with the closing credits are shots and short scenes of Max and Ely's burgeoning relationship.",positive,4.54,love
24207129,A Single Man,2009,35291211.836641304,['United States of America'],"['LGBT', 'Romantic drama', 'Romance Film', 'Drama', 'Film adaptation']","Taking place over the course of a single day, November 30, 1962, a month after the Cuban missile crisis, A Single Man is the story of George Falconer , a middle-aged English college professor living in Los Angeles. George dreams that he encounters the body of his longtime partner, Jim , at the scene of the car accident that took Jim’s life eight months earlier. After awakening, George delivers a voiceover discussing the pain and depression he has endured since Jim’s death and his intention to commit suicide that evening. George receives a phone call from his dearest friend, Charley , who projects lightheartedness despite her being equally miserable. George goes about his day putting his affairs in order and focusing on the beauty of isolated events, believing he is seeing things for the last time. Throughout, there are flashbacks to George and Jim’s sixteen-year-long relationship. During the school day George comes into contact with a student, Kenny Potter , who shows interest in George and disregards conventional boundaries of student-professor discussion. George also forms an unexpected connection with a Spanish male prostitute, Carlos . That evening George meets Charley for dinner. Though they initially reminisce and amuse themselves by dancing, Charley’s desire for a deeper relationship with George and her failure to understand his relationship with Jim angers George. George goes to a bar and discovers that Kenny has followed him. They get a round of drinks, go skinny dipping, and then return to George's house and continue drinking. George passes out and wakes up alone in bed with Kenny asleep in another room. George gets up and while watching Kenny discovers that he had fallen asleep holding George's gun, taken from the desktop, to keep George from committing suicide. George locks the gun away and in a closing voiceover explains how he has rediscovered the ability ""to feel, rather than think"". As he makes peace with his grief, George suffers a heart attack and dies.",negative,7.289,grief
1380482,Boat Trip,2003,25425784.44690383,"['United States of America', 'Germany']","['LGBT', 'Romantic comedy', 'Buddy film', 'Adventure', 'Comedy', 'Comedy of Errors']","Jerry  and Nick  are two best buddies whose love lives have hit rock bottom. After Nick runs into a friend who has married a beautiful, younger girl he met on a singles cruise, he decides to take a similar cruise with Jerry. Things do not go as planned though, after a vengeful travel agent books them on a cruise for gay men. During their trip, they come to learn that gay men are less objectionable than they first assumed. However, Jerry falls in love with the cruise's dance instructor Gabriella  and in order to win her over, he pretends to be gay so he can get closer to her. Meanwhile, Nick blossoms a romance with a bikini model named Inga . After an accidental affair with her mean, sex-obsessed coach Sonya , Nick must fend off Sonya who has fallen in love with him as well. In the end, Jerry wins Gabriella while Nick loses out on Inga but sees a potential relationship with her sister instead. However, he is then unwittingly  reunited with Sonya; much to his dismay and her arousal.",positive,,love
8964541,Unzipped,1995,5905856.420681705,['United States of America'],"['LGBT', 'Documentary', 'Comedy', 'Biopic [feature]']","Isaac Mizrahi, one of the most successful designers in high fashion, plans his fall 1994 collection.",positive,5.7,fashion
25871790,Kaboom,2010,766366.9230431604,"['United States of America', 'France']","['Thriller', 'LGBT', 'Science Fiction', 'Horror', 'Indie', 'Psychological thriller', 'Mystery', 'Comedy', 'Black comedy']","{{Plot}} Smith is an 18-year-old film student who identifies sexually as ""undeclared"" with a strong sexual appetite. He has been having strange dreams. He is going to college with his best friend, Stella, whom he has known since junior high. Smith finds a note saying that he is the ""chosen son"". He has a roommate, Thor, whom he lusts after, regretting that Thor is straight. Stella goes to a party with Smith, but hooks up with another girl, Lorelei. He recognizes Lorelei as one of the people in his dream. Smith notices a guy, but he is distracted when a red-haired girl from his dream vomits on his shoe. The guy vanishes, but Smith gets picked up by London, a British student. They have sex, but to Smith's regret she does not want to be with him except during the sex. Smith visits a nude beach, and meets a man named Hunter. They start to have sex, but Smith is disappointed to hear that Hunter is married. Stella discovers that Lorelei is not only insatiable, but also a witch with rejection issues. Stella keeps trying to dump her, but has difficulty as the witch takes over Smith's body, and later tries to strangle her in the washroom. Stella saves herself by spraying water on the witch, causing her to burn up. During this time, Smith continues to dream about the red-haired girl. In his dreams, they are both pursued by people wearing animal masks. Smith finds out that the girl was killed, and her head was cut off. He later meets her twin sister, who says that she was kidnapped many years ago by men wearing animal masks. He also meets the guy from the earlier party, and learns his name is Oliver. He is gay and wants to go on a date with Smith. Smith walks in on Thor and his best friend Rex wrestling in their underwear. Though they are calling each other gay, Stella explains that only straight guys can get away with that. London seduces Rex and convinces him to have a three-way with Smith for his 19th birthday. The animal-masked people finally capture Smith, London, and Smith's mom. They are bundled into a van to be driven to meet the head of a secret cult. Smith finds out that it is his father , and London is his half-sister. Meanwhile, Stella, Oliver, and the perpetually stoned ""Messiah"" hook up to pursue the van. Oliver has powers like Lorelei's, but uses them for good. It turns out that meeting Oliver wasn't chance. He was looking for Smith to protect him. The Messiah was only acting stoned. He's also there to protect Smith. The animal-masked people turn out to be Thor, Rex, and Hunter. They must get London and Smith to a secret underground shelter to survive the explosion of dozens of nuclear bombs. Anyone not in the cult will be annihilated, and the cult will take over the world with Smith as its leader. The Messiah tries to run the van off the road, and both vehicles scream towards a bridge that is out. Smith's father presses a button and the whole Earth explodes, including the cult's underground shelter.",negative,5.598,identity
