Wikipedia movie ID,Movie name,Movie release year,Movie box office revenue,Movie countries,Movie genres,Summary,Sentiment,Theme,vote_average,budget,decade,War Related
171005,Henry V,1989,26149545.80688692,['United Kingdom'],"['Costume drama', 'War film', 'Epic', 'Period piece', 'Drama', 'Film adaptation']",{{Plot|dateAct 1Act 2Act 3Act 4Act 5 Finally negotiations are made for Henry to be named king of both England and France. He has a brief romantic interlude with Catherine while the French and English royal delegations negotiate the Treaty of Troyes. The Greek chorus informs the audience that an English-French union lasted as long as Henry V lived and was only lost under his successor Henry VI.,positive,Union,7.214,23161462.38334872,1980.0,True
22985953,Beachhead,1954,15913237.935044618,['United States of America'],"['Action/Adventure', 'Action', 'Drama', 'Film adaptation', 'War film']","{{Expand section}} In late October 1943, a battalion of U.S. Marines have landed on Choiseul Island to create a diversion for the impending Allied invasion of Japanese held Bougainville Island. Four of them (Frank Lovejoy, Tony Curtis, Skip Homeier and [[Alan Wells  have been selected to do a reconnaissance patrol and find a French planter  and his daughter ([[Mary Murphy  who have sent a message to the Allies. The patrol must confirm that the message is authentic, and that the planter is still alive, who can give the Marines valuable information needed for a successful amphibious landing by the Allied forces.",positive,Valor,5.5,5114969.336264339,1950.0,True
9944484,The Battle of Algiers,1966,9307663.218389854,"['Italy', 'Algeria']","['Crime Fiction', 'World cinema', 'Drama', 'War film', 'Political drama', 'Historical drama']",Tracing the struggle of the Algerian Front de Liberation Nationale to gain freedom from French colonial rule as seen through the eyes of Ali from his start as a petty thief to his rise to prominence in the organisation and capture by the French in 1957. The film traces the rebels' struggle and the increasingly extreme measures taken by the French government to quell the revolt.,negative,Liberation,7.91,7723977.493093438,1960.0,True
31505444,Blockade,1938,14086113.529933175,['United States of America'],"['Adventure', 'Action/Adventure', 'Drama', 'War film', 'Romantic drama', 'Romance Film', 'Action']",A simple peasant is forced to take up arms to defend his farm during the Spanish Civil War. Along the way he falls in love with a Russian girl whose father is involved in espionage.,negative,Resilience,5.556,,1930.0,True
934809,Operation Petticoat,1959,71780509.18497832,['United States of America'],"['Action/Adventure', 'Action', 'Comedy', 'War film']","United States Navy Rear Admiral Matt Sherman , ComSubPac in 1959, boards the pre- World War II-era American submarine USS Sea Tiger prior to its departure for the scrapyard. The first commanding officer of Sea Tiger, Sherman sits in his former stateroom and begins reading his personal logbook, starting a flashback. A Japanese air raid sinks Sea Tiger while she is docked at the Cavite Navy Yard in the Philippines on 10 December 1941. Lieutenant Commander Sherman and his crew begin repairs, hoping to sail for Darwin, Australia before the Japanese overrun the port. Lieutenant Nick Holden  is reassigned to Sea Tiger despite lacking any submarine training or experience. He and Sherman clash over Holden's attitude toward the Navy; Holden became a naval officer not out of patriotism but to escape poverty and find a wealthy spouse, and is engaged to such a woman. Holden demonstrates great skill as a scavenger and con artist to obtain materials for repairs, however, and becomes the ship's supply officer. The unpainted Sea Tiger&mdash;its backfiring #1 engine still producing black smoke&mdash;reaches Marinduque, where Sherman reluctantly agrees to evacuate five female Army nurses stranded there. Holden is attracted to Second Lieutenant Duran , while Sherman has a series of embarrassing encounters with the well-endowed but clumsy Second Lieutenant Crandall . When Sherman prepares to attack an enemy oiler, Crandall accidentally launches the torpedo prematurely, blowing up a truck on the beach. Sherman tries to leave the nurses at Cebu but the Army refuses to accept them, as it is preparing for guerrilla warfare to oppose the coming Japanese occupation. When Sherman is unable to obtain needed supplies officially, he allows Holden to set up a casino to get them. The crew does not have enough red lead or white lead primer paint to coat the entire submarine in a single color, so the two have to be mixed together, resulting in a bright pink. The plan is to apply a second, gray coat after a New Year's Eve celebration, but a Japanese aerial attack forces a hasty departure. Tokyo Rose mocks the mystery pink submarine in the Celebes Sea, while the Navy believes the submarine's color is a Japanese trick and orders that it be sunk on sight. An American destroyer fires depth charges at Sea Tiger, but Sherman shoots the nurses' underwear out a torpedo tube. The destroyer's crew finds Crandall's bra  and takes it to the captain, who concludes that it cannot be Japanese and stops the attack. The arrival of Commander Holden, his wife , and their sons in present day-1959 interrupts Sherman's reminiscences. As current commanding officer of Sea Tiger, Holden asks if there are any ""last minute reprieves"" to save her from the scrapyard. Reluctantly, the admiral replies no, but at the same time promises Holden command of a new nuclear-powered submarine, also to be named Sea Tiger. Sherman's wife  arrives late and rear-ends her husband's staff car, bumping it into the rear bumper of a Navy bus, which then drives away, dragging the admiral's staff car in tow with the admiral's driver chasing after it. As Holden takes Sea Tiger out of the port for scrapping, her #1 engine again backfires and emits black smoke one last time.",negative,Remembrance,7.155,,1950.0,True
16647548,Fixed Bayonets!,1951,18338175.87028801,['United States of America'],"['Action/Adventure', 'Action', 'Drama', 'Film adaptation', 'War film']","The film is set in the first winter of the Korean War during the Red Chinese intervention . The story follows the fate of a lone 48 man platoon left as a rear guard to defend a choke point, to cover the withdrawal of their division over an exposed bridge. The subplot explores the psychological makeup of the individuals charged with leadership of the platoon, and therein examines the nature of service and valor. Ultimately command of the platoon falls upon Cpl. Denno , who has an innate aversion to responsibility for the lives of others.",negative,Valor,6.387,,1950.0,True
5049873,Mediterraneo,1991,10560567.787128808,['Italy'],"['Romantic comedy', 'World cinema', 'Drama', 'Comedy', 'War film', 'Romance Film']","In 1941, one year after Italy joined Germany against the Allies in World War II, a small group of misfit Italian soldiers is sent to a small Greek island in the Aegean Sea for four months of lookout duty. The soldiers include a lieutenant who likes art, a macho sergeant, a farmer accompanied by his beloved donkey Silvana, and other quirky people. They are not very good soldiers, but a cross section of average, independent men. The soldiers anticipate attack from outside and on the island and take all sorts of inept precautions. They find a small town with no people. They see bombing on the horizon and realize that the ship that would pick them up has been destroyed. Then mysteriously, people reappear in the village: the villagers say they hid because the Germans had taken all the men. They have decided to accommodate the Italians. It isn't long before everyone's sunny nature appears. The Italian soldiers are absorbed into the life, heat and landscape of the idyllic island. The local orthodox priest asks the lieutenant, a Sunday painter, to restore the murals in his church. Two soldiers, who are brothers, befriend a lovely young woman, a shepherdess. The sergeant takes up folk dancing and the shyest of the soldiers falls profoundly in love with the island's single, very overworked prostitute, named Vassilissa. In their old age three of the men are reunited on the island to close the film. Mediterraneo . March 22, 1992. Review/Film Festival; Roundelay Of Love On an Isle In Wartime",positive,Resilience,7.6,,1990.0,True
26967810,Of Gods and Men,2010,58793634.9870892,['France'],"['History', 'Drama', 'Religious Film', 'World cinema', 'War film']","The film opens with a quotation from the Book of Psalms, Psalm 82:6–7: ""I have said, Ye are gods; and all of you are children of the most High. But ye shall die like men, and fall like one of the princes."" The monks' peaceful routine of the prayer, medical assistance, and community interaction is soon interrupted by the threat of Islamic fundamentalists. When Christian, their elected leader, declines the protection of the corrupt civil authority, the monks divide amongst themselves on the question of whether to stay or flee Algeria. Before a decision is reached, a group of fundamentalists, led by Ali Fayattia, enters the monks' compound in force on Christmas Eve and demands their doctor and his medical supplies. Christian refuses their requests and cites the Quran as proof of the monks' goodwill. With a mixture of surprise and respect, Fayattia leaves the compound and grants it his protection until his capture, torture and death at the hands of government forces. Despite the growing danger, the monks come to consensus on the moral importance of maintaining their committed lives with, and ministry to, the local population, even when faced with violence and death. Ultimately, the terrorists seize most of the monks during a nighttime raid and hold them hostage. As the captive monks trudge a snowy path towards a grim fate, the film concludes with the spiritual testament of prior Christian de Chergé, bravely written in the face of death.fallibleblogma.com",negative,Sacrifice,6.687,5677244.09938688,2010.0,True
1217079,The Killing Fields,1984,106043709.71815048,['United Kingdom'],"['Drama', 'Political drama', 'War film']","{{Plot}} In the Cambodian capital, Phnom Penh during May 1973, the Cambodian national army is fighting a civil war with the communist Khmer Rouge, a result of the Vietnam War overspilling that country’s borders. Dith Pran, a Cambodian journalist and interpreter for The New York Times, awaits the arrival of reporter Sydney Schanberg at the city's airport but leaves suddenly. Schanberg, whose flight arrives three hours late, takes a cab to his hotel where he meets up with Al Rockoff . Pran meets Schanberg later and tells him that an incident has occurred in a town, Neak Leung; allegedly, an American B-52 has bombed the town by mistake. Schanberg and Pran try to find transport. Pran is able to sneak them both onto a police boat. It that takes them to Neak Leung where they find that the town has been bombed and hundreds killed and wounded, including women and children. Schanberg and Pran are arrested when they try to photograph the execution of two Khmer Rouge operatives by Cambodian army officers. They are eventually released and Schanberg is furious when the international press corps arrives with the U.S. Army to report a sanitised version of the story. Two years later, in 1975, the embassies are being evacuated in anticipation of the arrival of the Khmer Rouge. Schanberg secures evacuation for Pran, his wife and their four children. However, Pran insists that he would stay behind to help Schanberg, but Pran's family leaves. The Khmer Rouge move into the capital, ostensibly in peace. During a parade through the city, Schanberg, suspicious of the positive way the Khmer Rouge are being welcomed, meets Rockoff, who tells him that he had just come from an area where heavy fighting was taking place. They are later met by a detachment of the Khmer Rouge, who immediately arrest them. Pran is not allowed into the armoured personnel carrier at first, but is able to bribe the Khmer Rouge leader. The group is taken through the city to a back alley where prisoners are being held and executed. Pran, unharmed because he is a Cambodian civilian, negotiates with the Khmer Rouge officer in command for several hours to spare the lives of his friends. They are set free, joining the thousands of refugees fleeing the capital. They do not leave Phnom Penh, but instead retreat to the French embassy and stay there for several days, awaiting their chance to evacuate. Informed that the Khmer Rouge have ordered all Cambodian citizens in the embassy to be handed over and fearing the embassy will be overrun, the embassies comply. Knowing that Pran will be imprisoned or killed, Rockoff and fellow photographer Jon Swain  of The Sunday Times try to forge a British passport for Pran. They use supplies they find in the embassy buildings; however, the picture fades. With no other options available, Pran is turned over to the Khmer Rouge and is forced to live under their totalitarian regime. Several months after returning to New York City, Schanberg is in the midst of a personal campaign to locate Pran. He has appealed to many humanitarian organisations and has kept in close contact with Pran's family in San Francisco. In Cambodia, Pran has become a forced labourer under the Khmer Rouge's ""Year Zero"" policy, a return to the agrarian ways of the past. Pran labours in rice fields under the watchful eyes of young children of both sexes, whom the Khmer Rouge hold in high regard as the future leaders of their regime. Pran is also forced to attend propagandist classes where many undergo re-education. As intellectuals are made to disappear, Pran feigns simple-mindedness. Eventually, he tries to escape, but is recaptured. Before he is found by members of the Khmer Rouge, he slips into a muddy cesspool filled with rotting human corpses; in doing so, he stumbles upon the infamous killing fields of the Pol Pot regime, where it murdered millions of Cambodian citizens. Sydney Schanberg receives a journalism award for his coverage of the Cambodian conflict. At the acceptance dinner he tells the audience that half the recognition for the award belongs to Pran. At the restroom, he is confronted by Rockoff who harshly accuses him of not doing enough to locate Pran and for using his friend to win the award. Schanberg defends his efforts, saying that he has contacted every humanitarian relief agency possible in the four years since Pran's disappearance. Rockoff suggests that Schanberg subtly pressured Pran to remain in Cambodia because Pran was so vital to Sydney's work. This accusation hits close to home, and Schanberg begins to wonder whether he put his own self-interest ahead of Pran's safety. He finally confesses that Pran ""stayed because I wanted him to stay"". Pran is assigned to the leader of a different prison compound, a man named Phat, and charged mostly with tending to his little boy. Pran continues his self-imposed discipline of behaving as an uneducated peasant, despite several of Phat’s attempts to trick him into revealing his knowledge of both French and English. Phat begins to trust Pran and asks him to take ward of his son in the event that he is killed. The Khmer Rouge are now engaged in a border war with Vietnam. The conflict reaches Pran's region and a battle ensues between the Khmer Rouge of the compound and two jets sent to destroy the camp. After the skirmish has ended, Pran discovers that Phat's son has American money and a map leading to safety. When Phat tries to stop the younger Khmer Rouge officers from killing several of his comrades, he is ignominiously shot. In the confusion, Pran escapes with four other prisoners and they begin a long trek through the jungle with Phat’s young son. The group later splits and three of them head in a different direction; Pran continues following the map with one of them. However, Pran’s companion steps on a hidden land mine while holding the child. Though Pran pleads with the man to give him the child, the mine goes off, killing them both. Pran mourns for a time and continues on. One day he crests the escarpment of the Dangrek Mountains and sees a Red Cross camp near the border of Thailand. The scene shifts to Schanberg calling Pran's family with the news that Pran is alive and safe. Soon after, Schanberg travels to the Red Cross camp and is reunited with Pran. Asking Pran to forgive him, Pran answers, with a smile, ""Nothing to forgive, Sydney"", as the two embrace and John Lennon's song Imagine is heard in the background.",negative,Survival,7.506,44006242.48198288,1980.0,True
13194784,Gung Ho!,1943,40576784.72262061,['United States of America'],"['Action/Adventure', 'Combat Films', 'Action', 'War film']","The film begins with a tough Greek Lieutenant  announcing that the United States Marine Corps is seeking volunteers for a hazardous mission and special unit. Sergeant ""Transport"" Anderof  meets the commander of the unit, Lieutenant Colonel Thorwald  who he has served with in the China Marines. Thorwald explains that he left the Corps to serve with the Chinese guerrillas fighting the Japanese during the Second Sino-Japanese War to learn their methods and has decided to form a unit using the qualities of Gung Ho or ""work together"". Amongst the volunteers for the unit are a hillbilly  who responds to the Marine Gunner's  question whether he can kill someone with the fact that he already has; specifically a romantic rival. Alan Curtis is an ordained Minister keeping his vocation a secret. Robert Mitchum is ""Pig Iron""; a boxer from a background of poverty and hard work. Harold Landon is a young and small street kid who is initially rejected by Naish but wins him over as both worked as dishwashers on ships bound to the United States from Piraeus. Noah Beery Jr and David Bruce are rivals for United States Navy Nurse Corps Lt. Grace McDonald. Volunteers with brief screen time include a Filipino wishing to revenge his sister raped and killed in Manila who teaches the Raiders knife fighting, a veteran of the Spanish Civil War who sees the war as a continuation of the fight against Fascism, and a Marine who honestly admits ""I just don't like Japs"". The film moves rapidly in a documentary style with stock footage of training narrated by Chet Huntley. The survivors of the training are sent to Hawaii for further jungle warfare training where they witness the damage of the attack on Pearl Harbor. In Hawaii they hear a radio bulletin of the announcement of the Battle of Guadalcanal. The Marines are ordered to board two submarines, the {{USS}} and the {{USS}} destined for a commando raid on a Japanese held island. After a claustrophobic voyage, the Raiders invade the island from rubber boats. The Marine landing is met by fire from snipers hiding in palm trees. The Marines dispose of them, attack the Japanese headquarters, wipe out the Japanese garrison, destroy installations with explosives, then board the submarines for their return home.",negative,Courage,5.1,,1940.0,True
